date,test,negative,confirmed,released,deceased
2020-01-20,1,0,1,0,0
2020-01-21,1,0,1,0,0
2020-01-22,4,3,1,0,0
2020-01-23,22,21,2,0,0
2020-01-24,27,25,2,0,0
2020-01-25,27,25,2,0,0
2020-01-26,51,47,3,0,0
2020-01-27,61,56,4,0,0
2020-01-28,116,97,4,0,0
2020-01-29,187,155,4,0,0
2020-01-30,246,199,8,0,0
2020-01-31,312,245,11,0,0
2020-02-01,371,289,12,0,0
2020-02-02,429,327,15,0,0
2020-02-03,490,414,16,0,0
2020-02-04,607,462,16,0,0
2020-02-05,714,522,21,1,0
2020-02-06,885,693,23,2,0
2020-02-07,1352,1001,24,2,0
2020-02-08,2097,1134,24,2,0
2020-02-09,2598,1683,27,3,0
2020-02-10,3110,2552,28,4,0
2020-02-11,4325,3535,28,4,0
2020-02-12,5624,4811,28,7,0
2020-02-13,6511,5921,28,7,0
2020-02-14,7242,6679,28,7,0
2020-02-15,7734,7148,28,9,0
2020-02-16,8161,7647,30,9,0
2020-02-17,8718,7980,30,10,0
2020-02-18,9772,8923,39,12,0
2020-02-19,11173,9973,67,14,1
2020-02-20,13202,11238,109,16,1
2020-02-21,16400,13016,146,17,2
2020-02-22,21586,15116,218,17,2
2020-02-23,26179,17520,293,17,6
2020-02-24,32756,20292,350,21,7
2020-02-25,40304,25447,443,21,9
2020-02-26,53553,31576,565,23,10
2020-02-27,66652,39318,677,26,11
2020-02-28,81167,48593,814,27,11
2020-02-29,94055,55723,917,29,11
2020-03-01,98921,61825,1050,30,14
2020-03-02,109591,71580,1118,34,18
2020-03-03,125851,85484,1231,45,19
2020-03-04,136707,102965,1347,62,23
2020-03-05,146541,118965,1492,69,27
2020-03-06,164740,136624,1591,78,28
2020-03-07,178189,151802,1648,83,30
2020-03-08,188518,162008,1702,87,31
2020-03-09,196618,171778,1771,92,34
2020-03-10,210144,184179,1866,100,34
2020-03-11,222395,196100,1917,122,35
2020-03-12,234998,209402,1952,137,35
2020-03-13,248647,222728,1987,166,35
2020-03-14,261335,235615,2021,200,35
2020-03-15,268212,243778,2058,212,35
2020-03-16,274504,251297,2111,249,38
2020-03-17,286716,261105,2155,275,38
2020-03-18,295647,270888,2212,317,39
2020-03-19,307024,282555,2262,382,39
2020-03-20,316664,292487,2335,453,40
2020-03-21,327509,303006,2373,486,40
2020-03-22,331780,308343,2404,530,41
2020-03-23,338036,315447,2427,578,41
2020-03-24,348582,324105,2484,617,42
2020-03-25,357896,334481,2531,673,44
2020-03-26,364942,341332,2580,728,47
2020-03-27,376961,352410,2629,765,48
2020-03-28,387925,361883,2696,807,48
2020-03-29,394141,369530,2751,851,49
2020-03-30,395194,372002,2797,878,49
2020-03-31,410564,383886,2873,894,52
2020-04-01,421547,395075,2921,922,52
2020-04-02,431743,403882,2980,948,53
2020-04-03,443273,414303,3028,978,55
2020-04-04,455032,424732,3071,1004,55
2020-04-05,461233,431425,3098,1027,56
2020-04-06,466804,437225,3120,1042,57
2020-04-07,477304,446323,3154,1059,57
2020-04-08,486003,457761,3178,1081,58
2020-04-09,494711,468779,3201,1118,59
2020-04-10,503051,477303,3217,1139,59
2020-04-11,510479,485929,3229,1160,61
2020-04-12,514621,490321,3247,1174,61
2020-04-13,518743,494815,3264,1188,61
2020-04-14,527438,502223,3284,1201,61
2020-04-15,534552,508935,3298,1216,61
2020-04-16,538775,513894,3309,1233,61
2020-04-17,546463,521642,3322,1248,61
2020-04-18,554834,530631,3327,1260,62
2020-04-19,559109,536205,3334,1270,62
2020-04-20,563035,540380,3340,1275,62
2020-04-21,571014,547610,3350,1287,62
2020-04-22,577959,555144,3357,1306,63
2020-04-23,583971,563130,3362,1310,63
2020-04-24,589520,569212,3370,1322,63
2020-04-25,595161,575184,3379,1331,63
2020-04-26,598285,578558,3384,1336,63
2020-04-27,601660,582027,3394,1346,63
2020-04-28,608514,588559,3400,1356,63
2020-04-29,614197,595129,3401,1374,63
2020-04-30,619881,600482,3405,1379,63
2020-05-01,623069,603610,3409,1388,63
2020-05-02,627562,608286,3418,1394,64
2020-05-03,630973,611592,3421,1400,64
2020-05-04,633921,614944,3421,1406,64
2020-05-05,640237,620575,3423,1414,64
2020-05-06,643095,624280,3426,1420,64
2020-05-07,649388,630149,3434,1426,64
2020-05-08,654863,635174,3456,1437,64
2020-05-09,660030,640037,3486,1439,64
2020-05-10,663886,642884,3513,1445,64
2020-05-11,668492,646661,3541,1454,65
2020-05-12,680890,653624,3562,1465,65
2020-05-13,695920,665379,3591,1470,65
2020-05-14,711484,679771,3615,1474,65
2020-05-15,726747,695854,3625,1482,65
2020-05-16,740645,711265,3635,1487,65
2020-05-17,747653,718943,3642,1491,65
2020-05-18,753211,726053,3656,1493,65
2020-05-19,765574,737571,3683,1505,65
2020-05-20,776433,748972,3698,1506,65
2020-05-21,788684,759473,3709,1508,65
2020-05-22,802418,770990,3731,1516,65
2020-05-23,814420,781686,3751,1518,65
2020-05-24,820289,788766,3768,1519,65
2020-05-25,826437,796142,3782,1519,66
2020-05-26,839475,806206,3819,1522,66
2020-05-27,852876,820550,3896,1528,66
2020-05-28,868666,834952,3953,1530,66
2020-05-29,885120,849161,3990,1534,66
2020-05-30,902901,865162,4013,1536,66
2020-05-31,910822,876060,4045,1537,66
2020-06-01,921391,885830,4091,1537,66
2020-06-02,939851,899388,4135,1538,66
2020-06-03,956852,917397,4168,1539,66
2020-06-04,973858,934030,4207,1541,66
2020-06-05,990960,950526,4260,1542,66
2020-06-06,1005305,965632,4312,1544,66
2020-06-07,1012769,974512,4340,1550,66
2020-06-08,1018214,982026,4378,1551,66
2020-06-09,1035997,996686,4428,1553,66
2020-06-10,1051972,1013847,4466,1555,66
2020-06-11,1066888,1029447,4510,1556,66
2020-06-12,1081487,1045240,4559,1558,66
2020-06-13,1094704,1059301,4597,1560,66
2020-06-14,1100328,1066887,4622,1560,66
2020-06-15,1105719,1072805,4646,1563,66
2020-06-16,1119767,1084980,4686,1564,66
2020-06-17,1132823,1099136,4735,1565,66
2020-06-18,1145712,1111741,4777,1566,66
2020-06-19,1158063,1124567,4829,1569,66
2020-06-20,1170901,1137058,4870,1569,66
2020-06-21,1176463,1143971,4890,1570,66
2020-06-22,1182066,1150225,4905,1570,66
2020-06-23,1196012,1161250,4943,1571,66
2020-06-24,1208597,1175817,4968,1573,66
2020-06-25,1220478,1189015,5001,1582,66
2020-06-26,1232315,1200885,5041,1585,66
2020-06-27,1243780,1211261,5089,1585,66
2020-06-28,1251695,1219975,5127,1587,66
2020-06-29,1259954,1228698,5152,1587,66
2020-06-30,1273766,1240157,5159,1587,66
